qid	q_1	q_2	label
5222	土地合同诈骗法院起诉	土地合同诈骗不报警法院起诉	1
5222	土地合同诈骗法院起诉	土地合同诈骗不报警法院起诉	0
5285	主贷人不还款担保人还款后起诉主贷人	担保人被担保人追债失效期多长	0
5344	兄弟姐妹遗产继承	兄弟姐妹遗产继承	1
5344	兄弟姐妹遗产继承	兄弟姐妹遗产继承	0
5360	单位去申请查询行贿犯罪档案交材料	单位打印检察院行贿犯罪档案查询告知函资料	0
5360	单位去申请查询行贿犯罪档案交材料	单位打印检察院行贿犯罪档案查询告知函资料	1
5459	一个公司工作十五年炒法律赔偿	单位解聘工作满15年员工赔偿	1
5459	一个公司工作十五年炒法律赔偿	单位解聘工作满15年员工赔偿	0
5484	公司部门临时通知解散分流员工不同意去会补偿	单位解散未提前通知员工代通知金	0
5489	刑事诉讼中证人证言都定案	单一证人证言案件依据	0
5489	刑事诉讼中证人证言都定案	单一证人证言案件依据	1
5587	当事人合同约定附期限	当事人合同效力约定附条件	0
5587	当事人合同约定附期限	当事人合同效力约定附条件	1
5589	车辆登记证丢失找不到还抵押车	车辆抵押车还开走	0
5589	车辆登记证丢失找不到还抵押车	车辆抵押车还开走	1
5594	被代理人死亡后情况下代理	当事人死亡律师委托代理关系还	0
5594	被代理人死亡后情况下代理	当事人死亡律师委托代理关系还	1
5633	当事人裁定申请再审	当事人申请再审条件	0
5633	当事人裁定申请再审	当事人申请再审条件	1
5647	告状人去世亲属起诉	当事人死民事纠纷还起诉	0
5647	告状人去世亲属起诉	当事人死民事纠纷还起诉	1
5687	公司陷入僵局	谈话陷入僵局缓和谈话僵局场面	0
5687	公司陷入僵局	谈话陷入僵局缓和谈话僵局场面	1
5709	醉驾会吊销驾照	醉驾要吊销驾照	1
5709	醉驾会吊销驾照	醉驾要吊销驾照	0
5711	档案年龄年龄不符退休年龄算	档案年龄年龄不符退休年龄算	1
5714	碰到不支付运费情况货物扣下	不支付运费损坏货物	0
5714	碰到不支付运费情况货物扣下	不支付运费损坏货物	1
5776	债权人行使撤销权条件	债权人撤销权行使	0
5808	不立案不查	派出所立案却不查	0
5808	不立案不查	派出所立案却不查	1
5842	抢劫军人枪支应定罪	盗窃抢夺枪支弹药爆炸物危险物质罪刑法标准	0
5843	遗骨盗窃侮辱尸体罪犯罪对象	盗窃侮辱尸体罪刑法	0
5868	盗窃毁损地质检测设施会拘留	盗窃公共财物抓	0
5870	要约邀请	要约邀请	1
5879	盗窃罪涉案金额立案	盗窃金额算刑事案件	0
5879	盗窃罪涉案金额立案	盗窃金额算刑事案件	1
5881	盗窃文物定罪量刑	盗窃文物100万元判刑年	0
5881	盗窃文物定罪量刑	盗窃文物100万元判刑年	1
5892	盗接通信线路后出售盗窃数额	盗窃物品市场销售价价做量刑标准	0
5892	盗接通信线路后出售盗窃数额	盗窃物品市场销售价价做量刑标准	1
5959	报废机动车办理注销登记	道路交通安全法申请机动车登记提交证件	0
5966	道路交通违法行为处罚种类包括	道路交通违法行为处罚种类	1
5966	道路交通违法行为处罚种类包括	道路交通违法行为处罚种类	0
5974	交通事故司法鉴定标准	道路交通事故二级伤残鉴定标准	0
5974	交通事故司法鉴定标准	道路交通事故二级伤残鉴定标准	1
6022	合同到期后物业公司还服务原合同还	合同超过期限后物业公司还服务原合同还法律效力	1
6022	合同到期后物业公司还服务原合同还	合同超过期限后物业公司还服务原合同还法律效力	0
6037	申领失业保险资料手续	登记失业领取失业金材料	0
6037	申领失业保险资料手续	登记失业领取失业金材料	1
6092	违法违章建筑物抵押抵押	抵押合同有效性区分	1
6092	违法违章建筑物抵押抵押	抵押合同有效性区分	0
6149	地方性法规设定行政处罚	地方性法规设定行政处罚	1
6180	地下水污染治理 属部门职责	地下水污染	0
6221	孙子继承爷爷遗产代位继承份额	第二顺序继承人子女代位继承	0
6261	情况下能解除银行签订借款合同	解除银行签订借款合同情况	1
6261	情况下能解除银行签订借款合同	解除银行签订借款合同情况	0
6275	感觉第三者介入证据起诉离婚	第三者介入收集证据告上法庭	0
6342	电动车充电着火烧毁车	电动车充电站解决电动车充电着火	0
6342	电动车充电着火烧毁车	电动车充电站解决电动车充电着火	1
6350	发生车祸车撞电动车责任划分现场	电动车无牌照交通事故责任认定关系	0
6391	网购申请退款怎么弄	电信11188充值卡订单取消	0
6402	电信诈骗一次次得手	电信诈骗怎么回事	0
6404	才能手机电信诈骗	电信诈骗手段预防	1
6404	才能手机电信诈骗	电信诈骗手段预防	0
6456	东西偷索要赔偿	店内商品被盗员工赔偿	0
6456	东西偷索要赔偿	店内商品被盗员工赔偿	1
6460	用人单位员工关强迫劳动会惩罚	店长加班惩罚员工手段	0
6460	用人单位员工关强迫劳动会惩罚	店长加班惩罚员工手段	1
6576	算约定保证期间	保证期间忘约定算保证期间	1
6576	算约定保证期间	保证期间忘约定算保证期间	0
6578	纳税人丢失已开具发票后果	丢失已开具普通发票	0
6578	纳税人丢失已开具发票后果	丢失已开具普通发票	1
6586	保管东西丢赔偿	东西偷 人抓 卖 索要赔偿	0
6592	公司股东大会全体监事都出席会议	董监高不列席股东大会会不利后果	0
6592	公司股东大会全体监事都出席会议	董监高不列席股东大会会不利后果	1
6594	有限公司股东会董事出席	董事会监事会股东会固定会议时间	0
6611	合同约定运费算运费	合同里约定运费算损失	0
6611	合同约定运费算运费	合同里约定运费算损失	1
6622	婚姻期间一方起诉另一方支付扶养费	夫妻关系存续期间一方起诉另一方支付扶养费	1
6622	婚姻期间一方起诉另一方支付扶养费	夫妻关系存续期间一方起诉另一方支付扶养费	0
6646	动产质押动产质押	动产质押法律关系客体	0
6646	动产质押动产质押	动产质押法律关系客体	1
6673	毒驾酒驾保险公司赔付	毒驾肇事 保险公司理赔	0
6673	毒驾酒驾保险公司赔付	毒驾肇事 保险公司理赔	1
6682	毒品违法犯罪会处罚	毒品犯罪基本特征	0
6682	毒品违法犯罪会处罚	毒品犯罪基本特征	1
6704	国家孤儿	收养孤儿	0
6704	国家孤儿	收养孤儿	1
6733	违反治安管理从重处罚	赌博违法治安管理中一种	0
6767	出借人明知借款人开设赌场借款会法律保护	赌场上民间借贷法律保护	0
6767	出借人明知借款人开设赌场借款会法律保护	赌场上民间借贷法律保护	1
6774	赌博100万判刑	赌资100万赌博罪量刑	1
6774	赌博100万判刑	赌资100万赌博罪量刑	0
6870	夫妻一方外遇另一方赔偿	对方婚内出轨赔钱	0
6870	夫妻一方外遇另一方赔偿	对方婚内出轨赔钱	1
6951	微信借款不还法院起诉索偿	微信借款不还起诉索偿	1
6951	微信借款不还法院起诉索偿	微信借款不还起诉索偿	0
6962	公安机关刑事拘留不服可不可以起诉	公安机关刑事拘留提起行政复议	0
6962	公安机关刑事拘留不服可不可以起诉	公安机关刑事拘留提起行政复议	1
6965	公安机关违法办案	公安机关违法办案	1
6965	公安机关违法办案	公安机关违法办案	0
6985	行政复议不服去法院起诉	行政复议不服人民法院起诉	0
7023	事故认定复核不满	交通事故处理结果不满提请行政复议	0
7023	事故认定复核不满	交通事故处理结果不满提请行政复议	1
7025	食品生产经营者监督检验结论异议	交通事故检验鉴定异议	1
7025	食品生产经营者监督检验结论异议	交通事故检验鉴定异议	0
7055	晚上音响放音乐扰民违法	对面老是音响大声放歌算不算扰民	0
7055	晚上音响放音乐扰民违法	对面老是音响大声放歌算不算扰民	1
7072	死刑执行 最高院核准 先报高院复核	判决死刑案件一级人民法院核准	0
7072	死刑执行 最高院核准 先报高院复核	判决死刑案件一级人民法院核准	1
7094	部门有权指导人民调解工作	人民调解委员会调解民间纠纷业务指导部门	0
7125	人网上传谣言侮辱诽谤检察院会起诉	网络造谣诽谤告	0
7125	人网上传谣言侮辱诽谤检察院会起诉	网络造谣诽谤告	1
7153	小规模纳税人哪几种征收方式	小规模纳税人税款征收方式	1
7153	小规模纳税人哪几种征收方式	小规模纳税人税款征收方式	0
7208	警察不履行救助义务犯罪	警察案件不满意	0
7216	法院逮扑犯罪嫌疑人	人犯罪公民都有权扭送	0
7274	承租人损害出租人义务赔偿	租赁物因质量损坏承租人赔偿	0
7274	承租人损害出租人义务赔偿	租赁物因质量损坏承租人赔偿	1
7351	刑事犯罪立案标准新标准金额	钱才能算是刑事案件立案	0
7361	国际多式联运单据联运提单区别	多式联运单据联合运输提单区别	0
7372	实施多种违反治安管理处罚	多种违反治安管理减轻处罚	0
7372	实施多种违反治安管理处罚	多种违反治安管理减轻处罚	1
7399	儿童不宜吃食物	儿童不宜吃食物	1
7399	儿童不宜吃食物	儿童不宜吃食物	0
7487	第二审人民法院上诉案件审理后应	二审法院抗诉案件不开庭审理合法	0
7489	上诉中院后还开庭审理案件	二审法院抗诉案件不开庭审理合法	0
7490	第二审人民法院上诉抗诉案件应否开庭审理	二审法院抗诉案件开庭审理	1
7490	第二审人民法院上诉抗诉案件应否开庭审理	二审法院抗诉案件开庭审理	0
7491	第二审人民法院上诉抗诉案件应否	二审法院上诉案件审理	0
7509	婚姻中一方借款花销离婚时需偿还	一方借钱离婚另一方还钱	0
7509	婚姻中一方借款花销离婚时需偿还	一方借钱离婚另一方还钱	1
7557	二手房交易发现房子	二手房过户后房子原房主责任维修	0
7557	二手房交易发现房子	二手房过户后房子原房主责任维修	1
7562	二手房买卖交接时买方做	二手房过户时	0
7562	二手房买卖交接时买方做	二手房过户时	1
7577	二手房物业交接流程注意事项	二手房交易过户买方需带东西	0
7599	二手房中介合同上写过户日期	二手房买卖中介合同上写过户日期	1
7599	二手房中介合同上写过户日期	二手房买卖中介合同上写过户日期	0
7604	房产过户公证费用	二手房买卖公证收费	0
7648	二手房交易中卖方交房子买方	二手房已过户交接哪些方面	0
7658	未过户二手房再次转卖	二手房只公证未过户再次交易买家有何风险	0
7658	未过户二手房再次转卖	二手房只公证未过户再次交易买家有何风险	1
7693	债券发行过程	发行公司债券程序	1
7693	债券发行过程	发行公司债券程序	0
7717	公司债券发行费用	发行债券时支付发行费用怎么回事	0
7717	公司债券发行费用	发行债券时支付发行费用怎么回事	1
7730	夫妻婚前签订忠诚协议约定违约金	婚前签订忠诚协议定违约金	1
7730	夫妻婚前签订忠诚协议约定违约金	婚前签订忠诚协议定违约金	0
7763	发生交通事故车主放弃修车保险公司还要赔偿	发生车祸申请保险理赔车祸保险公司不予赔付	0
7763	发生交通事故车主放弃修车保险公司还要赔偿	发生车祸申请保险理赔车祸保险公司不予赔付	1
7795	交通事故后做伤情鉴定找做	发生交通事故后时间鉴定伤残	0
7795	交通事故后做伤情鉴定找做	发生交通事故后时间鉴定伤残	1
7834	交通事故私	发生交通事故私	1
7834	交通事故私	发生交通事故私	0
7863	公司单方解除终止工程合同	发现建筑工程擅自分包后解除合同	0
7863	公司单方解除终止工程合同	发现建筑工程擅自分包后解除合同	1
7916	做笔迹鉴定双方同意	法定笔迹鉴定程序	0
7916	做笔迹鉴定双方同意	法定笔迹鉴定程序	1
7921	财产公证程序内容	法定公证事项	0
8021	非婚生子女抚养权	法律非婚生子女抚养权	1
8021	非婚生子女抚养权	法律非婚生子女抚养权	0
8053	有限责任公司股权转让条件	法律公司股权转让禁止性	0
8053	有限责任公司股权转让条件	法律公司股权转让禁止性	1
8078	质物孳息效力抵押物孳息效力有何	法律抵押物兹息归属	0
8082	未上报安全事故法律后果	法律安全事故隐瞒不报	0
8082	未上报安全事故法律后果	法律安全事故隐瞒不报	1
