qid	q_1	q_2	label
3252	杜绝超期羁押超期催办	超期羁押解决办法	0
3267	超限解体	超限解体	1
3279	遗赠扶养协议遗嘱继承优先	遗赠遗赠扶养协议执行	1
3302	撞想请律师帮索赔费用	车撞找律师帮忙洽谈费用对方出	0
3331	才买车坏路上被拉去维修我能退款	车坏路上修理人员去修理!	0
3399	车辆被盗理赔手续	车辆被盗期间发生交通事故保险公司赔付	0
3414	保险公司能以时效已过拒绝理赔	车辆出险驾驶证已过有效期保险公司理赔	0
3431	办理车辆过户	车辆过户流程	1
3435	父母欠款子女偿还	父母债务子女偿还	1
3652	申请撤销仲裁裁决	撤销仲裁应具备条件	0
3667	委托人技术原因导致技术项目索要余下款项	委托人不配合导致技术项目索要余下款项	1
3703	成年子女父母再婚配偶赡养责任	成年子女父母再婚配偶赡养责任	1
3847	承诺生效后法律后果	承诺生效时合同成立合同生效	0
3911	租赁物危及承租人健康承租人解除合同	承租人解除合同	0
3923	巡警城管大队综合执法权具备条件	城管执法权来自城管执法法律依据	0
4111	公证书内容包括	出国公证书种类	0
4145	出口退税条件	出口退税资料	0
4155	毒驾酒驾保险公司赔付	出车祸司机吸毒保险公司会赔	0
4273	出租土地征收开发商只补偿承租人	出租土地别人期间征用赔偿违约	0
4305	工伤保险争议部门	工伤保险赔偿纠纷案件应几个题	0
4331	遭遇车祸申请人身安全保护令要收集证据	证据遭遇家暴申请人身安全保护令要收集	0
4423	串通投标罪要件	串通投标罪定罪证据	1
4487	离职后单位少不工资	辞职不批准还不工资	0
4589	员工退休后领取养老金	企业退休后每月领到养老金	0
4593	定罪量刑中正确从重处罚从轻处罚减轻处罚	从轻处罚减轻处罚区别	0
4657	村委会未经表决程序土地租出去	村委会集体土地租赁	0
4690	搭公交车上下班发生交通事故受伤工伤赔偿	搭网约车上下班发生交通事故工伤赔偿	0
4692	个体工商户增值税起征点领购发票	达不到起征点个体户领购发票	1
4769	书遗嘱继承房产证明	一份书遗嘱证明才能继承房产	1
4794	经常性配偶实施家暴犯罪	一方家暴犯罪	1
4830	做离婚亲子鉴定孩子同意	离婚官司做亲子鉴定女方不同意	0
4932	中国孩子犯法	大人小孩犯法	0
5032	加盟店广告不符不想加盟特许商以合同没约定不退加盟费	加盟店广告不符特许商以合同没约定不退加盟费	1
5045	代理种类	代理种类	1
5099	代位继承条件	代位继承条件	1
5104	代位继承人丧失代位继承权	代位继承权是代位继承法律	0
5130	借款交付前保证人任意解除保证合同	贷款担保人解除担保	0
5188	事先约定违约责任还保证人承担责任	约定违约责任债务人还承担责任	0
5222	土地合同诈骗法院起诉	土地合同诈骗不报警法院起诉	1
5248	申请工伤伤残鉴定	人申请工伤伤残鉴定	1
5344	兄弟姐妹遗产继承	兄弟姐妹遗产继承	1
5360	单位去申请查询行贿犯罪档案交材料	单位打印检察院行贿犯罪档案查询告知函资料	0
5459	一个公司工作十五年炒法律赔偿	单位解聘工作满15年员工赔偿	1
5489	刑事诉讼中证人证言都定案	单一证人证言案件依据	0
5587	当事人合同约定附期限	当事人合同效力约定附条件	0
5589	车辆登记证丢失找不到还抵押车	车辆抵押车还开走	0
5594	被代理人死亡后代理	当事人死亡律师委托代理关系还	0
5633	当事人裁定申请再审	当事人申请再审条件	0
5647	告状人去世亲属起诉	当事人死民事纠纷还起诉	0
5687	公司陷入僵局	谈话陷入僵局缓和谈话僵局场面	0
5709	醉驾会吊销驾照	醉驾要吊销驾照	1
5711	档案年龄年龄不符退休年龄算	档案年龄年龄不符退休年龄算	1
5714	碰到不支付运费情况货物扣下	不支付运费损坏货物	0
5808	不立案不查	派出所立案却不查	0
5870	要约邀请	要约邀请	1
5879	盗窃罪涉案金额立案	盗窃金额算刑事案件	0
5881	盗窃文物定罪量刑	盗窃文物100万元判刑年	0
5892	盗接通信线路后出售盗窃数额	盗窃物品市场销售价价做量刑标准	0
5959	报废机动车办理注销登记	道路交通安全法申请机动车登记提交证件	0
5966	道路交通违法行为处罚种类包括	道路交通违法行为处罚种类	1
5974	交通事故司法鉴定标准	道路交通事故二级伤残鉴定标准	0
6022	合同到期后物业公司还服务原合同还	合同超过期限后物业公司还服务原合同还法律效力	1
6037	申领失业保险资料手续	登记失业领取失业金材料	0
6092	违法违章建筑物抵押抵押	抵押合同有效性区分	1
6149	地方性法规设定行政处罚	地方性法规设定行政处罚	1
6261	解除银行签订借款合同	解除银行签订借款合同情况	1
6342	电动车充电着火烧毁车	电动车充电站解决电动车充电着火题	0
6404	才能手机电信诈骗	电信诈骗手段预防	1
6456	东西偷索要赔偿	店内商品被盗员工赔偿	0
6460	用人单位员工关强迫劳动会惩罚	店长加班惩罚员工手段	0
6576	算约定保证期间	保证期间忘约定算保证期间	1
6578	纳税人丢失已开具发票后果	丢失已开具普通发票	0
6592	公司股东大会全体监事都出席会议	董监高不列席股东大会会不利后果	0
6611	合同约定运费算运费	合同里约定运费算损失	0
6622	婚姻期间一方起诉另一方支付扶养费	夫妻关系存续期间一方起诉另一方支付扶养费	1
6646	动产质押动产质押	动产质押法律关系客体	0
6673	毒驾酒驾保险公司赔付	毒驾肇事 保险公司理赔	0
6682	毒品违法犯罪会处罚	毒品犯罪基本特征	0
6704	国家孤儿	收养孤儿	0
6767	出借人明知借款人开设赌场借款会法律保护	赌场上民间借贷法律保护	0
6774	赌博100万判刑	赌资100万赌博罪量刑	1
6870	夫妻一方外遇另一方赔偿	对方婚内出轨赔钱	0
6951	微信借款不还法院起诉索偿	微信借款不还起诉索偿	1
6962	公安机关刑事拘留不服可不可以起诉	公安机关刑事拘留提起行政复议	0
6965	公安机关违法办案	公安机关违法办案	1
7023	事故认定复核不满	交通事故处理结果不满提请行政复议	0
7025	食品生产经营者监督检验结有异议	交通事故检验鉴定异议	1
7055	晚上音响放音乐扰民违法	对面老是音响大声放歌算不算扰民	0
7072	死刑执行 最高院核准 先报高院复核	判决死刑案件一级人民法院核准	0
7125	人网上传谣言侮辱诽谤检察院会起诉	网络造谣诽谤告	0
7153	小规模纳税人哪几种征收方式	小规模纳税人税款征收方式	1
7274	承租人损害出租人义务赔偿	租赁物因质量题损坏承租人赔偿	0
7372	实施多种违反治安管理处罚	多种违反治安管理减轻处罚	0
7399	儿童不宜吃食物	儿童不宜吃食物	1
7490	第二审人民法院上诉抗诉案件应否开庭审理	二审法院抗诉案件开庭审理	1
7509	婚姻中一方借款花销离婚时需偿还	一方借钱离婚另一方还钱	0
7557	二手房交易发现房子有题	二手房过户后房子题原房主责任维修	0
7562	二手房买卖交接时买方做	二手房过户时	0
7599	二手房中介合同上写过户日期	二手房买卖中介合同上写过户日期	1
7658	未过户二手房再次转卖	二手房只公证未过户再次交易买家有何风险	0
7693	债券发行过程	发行公司债券程序	1
7717	公司债券发行费用	发行债券时支付发行费用怎么回事	0
7730	夫妻婚前签订忠诚协议约定违约金	婚前签订忠诚协议定违约金	1
7763	发生交通事故车主放弃修车保险公司还要赔偿	发生车祸申请保险理赔车祸保险公司不予赔付	0
7795	交通事故后做伤情鉴定找做	发生交通事故后时间鉴定伤残	0
7834	交通事故私	发生交通事故私	1
7863	公司单方解除终止工程合同	发现建筑工程擅自分包后解除合同	0
7916	做笔迹鉴定双方同意	法定笔迹鉴定程序	0
7990	延期审理	法官自由更改审理期限	0
8021	非婚生子女抚养权	法律非婚生子女抚养权	1
8053	有限责任公司股权转让条件	法律公司股权转让禁止性	0
8082	未上报安全事故法律后果	法律安全事故隐瞒不报	0
8086	合同性质转让债权指	法律转让债权	0
8126	劳动者诊断患有职业病用人单位依法参加工伤保险医疗生活保障	法律患有职业病劳动者享受待遇	0
8154	公司恶意逃债找股东讨债	公司恶意逃债找股东讨债	1
8235	事实证据去打官司会赢	法律只重视证据不看事实	0
8243	刑事案件诉讼流程	法律诉讼过程	0
8284	法律援助会为提供	法律援助打官司会真心打官司	0
8428	法庭调查顺序	法庭调查顺序	1
8442	公安法医鉴定多长时间出	法医鉴定多长时间出	1
8443	死亡血液法医鉴定时间	法医鉴定多长时间	1
8477	案件法院不立案	法院不受理案件	0
8601	鉴定人诉讼权利	法院开庭时 原告 权利	0
8621	法院立案组做	法院立案都材料	0
8678	登记结婚时未达法定婚龄补领结婚证	结婚登记时未到法定婚龄补领结婚证时应	1
8916	抵押人房产重复抵押违法	房产重复抵押抵押人违法	1
8944	纠纷不劳动争议仲裁受案	法院受理劳动争议案件	0
8992	第三人租赁物损坏索赔	承租人损害出租人义务赔偿	0
9006	征收反倾销税后商品价格涨	反倾销税征收超过几年	0
9009	反倾销调查程序申请	反倾销调查	1
9015	机构人员公告内容负有保密义务	反洗钱工作人员反洗钱工作保密包括	0
9083	签了担保合同后解除合同	贷款担保人解除担保	0
9092	犯罪特征	犯罪特征	1
9147	开车发生事故财物损失会判刑	开车交通事故对方三死一伤会判刑	0
9164	犯罪嫌疑人拒绝权	犯罪嫌疑人权利	1
9171	犯罪证据才监视居住	犯罪嫌疑人监视居住37天因证据不足公安局会放人	0
9176	拒捕法律后果	犯罪嫌疑人拒捕警察击毙负责任	0
9260	防治城市生活垃圾污染措施	防范施工船舶上生活垃圾污水污染水域措施	0
9286	妨碍公务罪处罚	妨碍公务罪处罚	1
9314	房地产公司上市后担保	房产抵押银行贷款都还担保公司	0
9432	房产赠与还公证	房产赠与协议公证	0
9550	买房遭遇虚假宣传	房地产商虚假宣传骗老百姓	0
9567	房东不退押金	房东不退押金	1
9622	事先未约定保证方式保证人不还钱	未约定保证方式保证人要后悔	0
9628	房屋拆迁补偿	房屋拆迁补偿都	1
9672	贷款买房子证明	房屋贷款材料	0
9748	误解撤销合同	误解签订合同撤销	1
9784	假房屋买卖合同	房屋虚假广告致使房产买卖合同无效	0
9839	承租人房子装修离开时分离装修物	房屋装修纠纷办法	0
9871	房屋中介不按规定登记承租人信息后果	房屋租赁合同备案法律后果都	0
9941	租赁合同提前解除出租人退还押金	提前解除租赁合同出租人退还押金	1
9964	房子交付房款还没付	房子交了首付住进去还不起房贷会	0
9972	房屋实测面积误差超过3%结算	房子面积误差超过3%开发商测绘责任	0
9976	婚内出轨对方赔偿精神损失费	对方出轨我能精神赔偿	1
9993	遗产分配不公	遗嘱遗产分配不公法律效力	0
10005	一房数租房屋租赁合同顺序	房租租赁协议保障权益	0
10044	放纵走私罪判年	放纵走私罪相关条文	0
10060	不交物业费物业权利停水停电	拖欠物业费物业断水断电	1
10108	非法处置查封扣押冻结财产罪	非法处置查封扣押冻结财产罪案件归属	0
10122	非法行医患者人身损害赔偿	非法行医患者人身损害赔偿	1
10130	父母离婚抚养方阻止另一方去看孩子	情形阻止另一方探望孩子	0
10181	非法集资罪判刑	非法集资罪量刑标准	0
10314	非法吸收公众存款罪处罚	非法吸收公众存款4千万判刑几年	0
10373	非法种植毒品原植物罪处罚	非法种植毒品原植物罪未遂处罚	0
10386	患病丧失劳动能力员工解雇	非工伤丧失劳动能力公司解除劳动合同	1
10483	起诉重婚时起诉离婚	起诉重婚时分开起诉离婚	0
10535	别人借钱不还钱占有抵押物	债权人占有质押物	0
10538	分公司经营范围设定	分公司经营范围总公司	0
10563	注销分公司材料	分公司注销步骤	0
10711	离婚时清偿夫妻债务	夫妻债务离婚后承担	0
10740	夫妻之间相互扶养义务	夫妻间扶养义务包括	0
10749	婚内夫妻间借款离婚后不用还	夫妻间婚内借款协议	0
10821	夫妻忠诚协议不法律效力	夫妻签订忠诚协议法律效力	0
10843	夫妻之间相互扶养义务	夫妻之间负有相互扶养义务	1
10870	婚内出轨导致离婚财产分割	婚内出轨男女双方离婚财产分割	1
10923	一方名义借钱夫妻债务	夫妻一方名义所负债务夫妻债务	1
10959	担保人不履行担保责任	担保人不履行赔偿责任	0
10981	口头借款对方不还钱	借款不还老赖户该	0
11039	按揭房离婚时分割	父母出资按揭房离婚时分割	0
11052	父母债务子女偿还	父母债务子女义务偿还	1
11108	材料未签借款合同债权凭证	借款签订合同债权凭证材料	1
11138	父母未尽子女抚养义务子女拒绝赡养	父母未尽抚养义务子女拒绝赡养	1
11162	法院拍卖所得房产落户未成年子女名下	父母转给未成年人子女名下房产能会法院拍卖	0
11275	复婚办理手续证件	复婚办理手续证件	1
11394	上市公司高管提前得知内幕信息私下股票交易	高管买卖公司股票合法	0
11438	高速公路时速	高速公路最低时速	0
11453	第三人租赁物损坏索赔	第三人损坏租赁物索赔	1
11525	婚前协议约定夫妻一方提出离婚	婚前协议可不可以约定永不离婚	0
11539	个人独资企业一个人投资设立企业	个人独资企业投资人仅能自然人	0
11605	自然人之间聘用关系劳动关系	劳务关系劳动关系	1
11637	缴纳社保	交社保	0
11653	租房不合法租赁合同	签定房屋租赁合同	0
11673	人申请劳动能力等级鉴定	申请工伤劳动能力鉴定都提供	0
11708	网上恶作剧骚扰去维权	个人信息人发到网上天天骚扰电话	0
12037	企业事业单位处分职工时工会职工	工厂工会作用处罚员工工会	0
12091	工程欠款利息计算	工程欠款利息计算	1
12157	工会活动准则	工会活动准则	1
12189	工会经费包括	工会经费	0
12193	工会组织职能	工会经费管理原则	0
12195	工会经费原则	工会经费用于哪些方面	0
12203	工会劳动争议调解委员会中地位	工会调解劳动争议劳动案件工会	0
12213	工会组织教育职工各项活动	工会邀练培训指导会计科目做	1
12307	工伤职工安装伤残辅助器具	工伤辅助器具申请伤残鉴定坐	0
12401	工伤赔偿协商后反悔去申请仲裁	工伤赔偿私协议反悔	0
12404	工伤劳动仲裁和解协议书反悔	工伤赔偿协商后还申请仲裁	0
12405	工伤赔偿协议签定后申请劳动仲裁协议还	工伤赔偿协商后仲裁	1
12525	工伤期间用人单位扣工资社保费	工伤社保赔付后企业还会支付赔偿	0
12561	单位未工伤伤残等级员工解除劳动合同	工伤未伤残等级用人单位解除劳动关系	1
12584	工伤员工享受带薪年休假300%工资	工伤员工休工伤假后带薪年假取消	0
12597	劳动者因工死亡应享受待遇	工伤职工死亡享受待遇	1
12650	移出经营异常名录流程	工商局经营异常多久解除	1
12691	"负债追讨未果欠款人车辆""扣押"""	对方不还钱占有车子	0
12695	男女领假结婚证住在一起算真实婚姻	提供虚假证明登记结婚算无效婚姻	0
12737	工资总额哪几	工资总额包括内容计算工资总额	0
12739	工资总额包括几项	工资总额哪几	1
12769	劳动合同到期公司不续签经济补偿金	工作三年合同到期单位不续签后经济补偿	0
12811	赡养人放弃继承权不尽赡养义务	放弃继承权后不赡养父母	1
12829	公安机关办错案	公安机关办错案要素	0
13012	逮捕部门批准	公安局逮捕程序	0
13074	公安机关扣押财产会开几份扣押清单	公安局扣押物品不开物品扣押清单	0
13131	公司所欠下债务股东偿还	公司资不抵债清偿债务时股东负责清偿	0
13137	租户不退押金说租赁物磨损说法合法	出租人租赁物丢失不退押金	0
13168	公交车刹车乘客受伤能要公交公司赔偿	公交车刹车导致乘客受伤赔偿	0
13197	著作权公民享有法人组织	公民法人享有著作权依法权利	0
13235	公民犯罪嫌疑人扭送司法机关	公民扭送刑事强制措施关系	0
13300	公司长期经营列入经营异常	公司列入经营异常不会影响后果	0
13307	约定保证方式保证期间计算	未约定保证方式保证期间计算	1
13311	保证期间等同于债务履行期间视为约定保证期间	我国法律上保证期间等同于债务履行期间视为未约定保证期间	0
13363	解除劳动合同年假补偿金	公司不休年假不补偿解除劳动合同补偿	0
13543	企业发行债券具备条件	公司发行债券公司净资产有要	0
13589	公司拖欠工资公司账上没钱股东都很有钱	公司法人从不管理股东欠工资办	0
13601	劳动合同上法定代表人签字	公司法人还要签劳动合同	0
13654	企业少发员工工资员工推举代表申请劳动仲裁	公司员工少缴社保可否申请劳动仲裁申请	0
13680	侵犯企业经营自主权起诉	公司股东提起行政诉讼 原告名义界定	0
13735	用人单位合并后未签订劳动合同合法	公司合并未签劳动合同满一年提出赔偿	0
13737	公司合并形式程序债权债务处置	公司合并债权债务	0
13762	监事工作中费用由谁来承担	公司监事公司部门	0
13779	公司降职降薪签订劳动合同	公司降职降薪合法劳动合同空白	0
13816	再婚享受婚假天	二婚请婚假请几天假	1
13822	拖欠运费起诉	别人拖欠运费起诉起诉	0
13882	房东不退押金合法情况	房租到期房东不退押金解决	1
13921	公司不正规签订劳动合同有用吗	公司员工签订劳动合同算不算违法	0
13947	公司减少注册资本	公司减少注册资本	1
14027	三证合一注销	公司三证合一钱	0
14037	上市公司公开信息	公司上市信息都保密	1
14049	公司上市融资	公司上市融资	1
14090	上市交易公司债券情况时终止上市交易	公司申请公司债券上市交易符合条件	0
14113	子女不赡养父母才能履行义务	赡养题老人过错方子女不赡养	0
14172	公司拖欠工资	公司拖欠工资	1
14214	签订婚内财产协议无效	手写婚内财产约定协议书法律效力	0
14265	夫妻签订婚前协议约定任何一方都提出离婚合法	婚前协议约定任何一方都提出重婚	0
14278	员工工伤住院企业支付营养费	公司工伤员工支付营养费	0
14292	合同到期后物业公司还服务原合同还	物业公司小区服务合同到期员工补偿	0
14323	公司不办离职我能离职单寄回去	公司拖不办理离职手续	0
14336	无权代理合同被代理人追认合同效力	事后再追认无权代理合同还	1
14367	公司几种形式我国公司法形式	公司几种形式我国公司法形式	1
14457	公司债券发行条件	公司债券发行条件	1
14468	公司债券发行法律	公司债券股票区别法律	0
14536	公司申请登记	公司注册登记流程	0
14549	登记注册业务网上注册办理	公司注册网上申请申请流程	1
14553	公司注册材料	公司注册材料	1
14570	办理注销登记时要交清算报告	公司注销清算报告会计师事务所出具	0
14623	公诉案件不满	公诉案件证据不足法院判	0
14637	再婚夫妻子女之间办理结婚登记	再婚后父母结婚	0
14641	公务人员拘留会开除公职	公务人员拘留会开除公职	1
14749	公证机构部门领导管理	公证处部门	0
14773	公证机构部门领导管理	公证机构管理制度	0
14791	公证书法律效力	公证书法律效力	1
14899	主人遗弃宠物咬伤人该	狗咬人狗主人负法律责任	0
14902	狗咬伤人后狗主人推卸责任不赔偿	狗咬伤人主人不赔偿法律程序索赔	0
14925	承租人迟延付租金提出解约	租客 拖延交房租不交房租	0
14952	诈骗罪要件	诈骗罪要件	1
14993	经济适用房未纳入解释调整	购房人退房双倍赔偿	0
15098	外国外国人登记结婚法律效力	中国人外国人结婚结婚证	0
15109	已足额出资股东解除抽逃出资股东资格	股东抽逃出资公司有权股东履行出资义务	0
15126	股东有否诉讼权行使	股东代表诉讼当事人	0
15185	私自拿走公司财物构成犯罪	股东私自公司物品回家罪	0
15190	股东委托律师参加股东大会	股东委托股东参加股东大会	0
15197	公司股权转让后出资证明书	股东想转让公司股权	0
15205	股东公司债务承担连带责任	股东公司债务承担连带责任	1
15245	债务关系借款人不还钱担保人义务偿还	借钱签订借款合同到期不还担保人还款合法时间	0
15301	股份有限公司破产时债权人股东讨债	股份有限公司破产时债权人股东讨债	1
15306	有限责任公司股份有限公司区别	股份有限公司	0
15332	股份有限公司董事任期	股份制企业董事会三年换届	0
15358	公司发行股票程序规则	股票发行公司首次发行股票条件	0
15394	股票增值收益夫妻共同财产	股票收益共同财产	0
15422	合伙人股东有何区别	股权合伙人区别	0
15435	股权收购资产收购区别	股权收购资产收购区别	1
15437	股权投资	股权投资选择哪家公司好	0
15460	股权转让公证	股权转让公证	1
15482	未约定保证期间起诉担保人索偿	事先忘约定保证期间起诉担保人索偿	1
15483	公司依法转让后原股东还承担原公司债务	股权转让后股东承担责任	0
15551	损坏国家文物后果	故意毁坏文物会判刑	0
15591	保证人没钱不履行赔偿责任	保证人没钱不履行担保责任	1
15596	故意伤害罪致人死亡过失杀人罪区别	故意伤害过失致人死亡罪判年	0
15728	孩子偷买手机退货遭拒家长有权退货	小孩偷父母钱去超市买东西能要退货	0
15750	婚后买房资料证明夫妻共同财产	婚前买房资料证明夫妻共同财产	0
15840	赌博犯罪定罪处罚	赌博罪法律上会刑事处罚行政处罚	0
15846	拖欠货款诉讼时效是从计算	拖欠货款诉讼时效计算	1
15959	行政机关乱收费	行政机关违规收费题	1
15993	证券登记结算机构措施保证业务	证券经纪业务管理详细内容	0
16016	交通肇事罪条件	交通肇事罪认定	0
16043	合同履行地公司注册地	劳动合同公司地址公司注册地址不	1
16127	企业办理退税时需注意题	企业所得税退税手续	0
16225	漏水维修过程中发现主管道腐烂	卫生间主管道漏水责任部门	0
16237	小区停车位收费所得	小区里停车位收费合法	0
16243	网贷平台本金中预先扣除出借本金	网贷平台本金中预扣居间服务费出借本金	1
16274	医疗事故赔偿医院协商	医疗事故赔偿题	0
16414	对比广告法律	广告代言法律责任	0
16532	国家产品质量实行监督管理体制	国家产品质量实行监督管理体制	1
16546	残疾儿童受教育权利保护	国家残疾人都救助政策	0
16586	法定节假日值班人员伙食费补贴	国家法定节假日值班加班工资算	0
16623	产假天休	国家产假休息天时间休	1
16652	国家机关可不可以保证人	国家机关担保人	0
16664	临时工节假日上班加班费	国家劳动法临时工超小时算加班	0
16719	我国学位哪几种	国家设置专业学位类型哪几种	1
16733	执行死刑流程	国家执行死刑过程	0
16766	合同显失公平	合同显失公平法律效力	1
16775	我国受理涉外仲裁案件仲裁机构	国内仲裁机构受理涉外案件	0
16778	外资有限公司设立需资料	国内注册外资公司流程	0
16836	国有独资公司董事会职权	国有独资公司董事会职权	1
16883	企业改制后劳动合同变更劳动者改制后企业变更劳动合同时出现分歧	国有企业改制后职工劳动合同签订	0
16971	故意伤害罪过失致人死亡罪	过失致人死亡罪故意伤害罪些	0
16995	借钱到期拒绝还款起诉收集证据材料	我要起诉借钱到期拒绝还款证据材料	1
17027	孩子偿还债务法院拍卖父母名下房产	孩子欠款去世法院强制拍卖父母房子	1
17066	出借人时间钱借款人违约	出借人按时钱借款人违约	1
17076	夫妻共同财产包括婚前房屋再婚后拆迁补偿房屋	男方婚前老房子 结婚后拆迁属不夫妻共同财产	0
17129	行人高速公路上拦车交通事故	行人闯高速公路撞责任	0
17140	行人高速公路发生交通事故应由谁来负责	行人发生交通事故原因	0
17223	行政不损失赔偿	行政不国家赔偿法律	0
17227	监督检查部门作出不服提起行政诉讼	行政部门乱不提起行政诉讼	0
17289	行政处罚程序包括内容	行政处罚听证程序包括内容	0
17294	确立行政处罚监督制度意义	行政处罚先行告知书作用	0
17332	行政法规设定行政处罚	行政法规设定纪律处分	0
17356	行政复议遵循原则	行政复议原则	1
17365	行政复议原则	行政复议原则	1
17407	请延长申请行政复议期限条件	行政复议申请延期缴纳行政处罚	0
17416	行政复议申请书行政机关递交	行政复议申请书行政机关递交	1
17453	行政合理性原则包含内容	行政合理性原则	0
17471	行政机关行政许可申请人申请	行政机关行政许可申请不予受理	0
17484	行政机关擅自变更行政处罚内容应对	行政机关撤销做出行政处罚	0
17546	借款人死亡后担保人承担还款责任	债务人死保证人还钱	0
17610	人民法院审理行政上诉案件审限几个月	行政上诉案中级人民法院开庭后多长时间出判决	0
17618	单位应配备会计人员	行政事业单位财务会计人员几种	0
17631	境外主体提起诉讼要交材料才能证明主体资格	行政诉讼被告证据清单	0
17672	法院行政上诉案件会审理多长时间	行政诉讼法行政案件审理期限	0
17680	情况租赁物损坏承租人赔偿	租赁物损坏情况承租人赔偿	1
17704	行政诉讼都公开审理	行政诉讼不公开	0
17721	行政诉讼人民法院特定主管原则	行政诉讼特有原则包括人民法院特定管辖原则	0
17828	航次租船合同船舶水尺不准损失责任	航次租船合同中预备航次意义	0
17855	着色剂量不超过使用量	合成着色剂饮料中使用量	0
17870	合肥市外商投资企业劳动管理办法	合肥市财政局机构设置	1
17916	合伙企业债务承担	合伙企业债务承担	1
17917	合伙企业投资者应缴纳税	合伙企业证券投资缴纳税款	0
17925	合伙人未合伙协议出资	合伙人退出投钱	0
